type,domain,name,path,line,extra
controller,用户、身份与沟通,MessagesController,app/controllers/messages_controller.rb,23,
controller,其他,HistoryController,app/controllers/history_controller.rb,85,
controller,作业、提交与评分,AssignmentOverridesController,app/controllers/assignment_overrides_controller.rb,113,
controller,测验与题库,AssessmentQuestionBanksController,app/controllers/assessment_question_banks_controller.rb,227,
controller,讨论、公告与协作,EportfolioCategoriesController,app/controllers/eportfolio_categories_controller.rb,20,
controller,作业、提交与评分,GradebookSettingsController,app/controllers/gradebook_settings_controller.rb,21,
controller,分析、审计与运维,JobsController,app/controllers/jobs_controller.rb,20,
controller,其他,BlackoutDatesController,app/controllers/blackout_dates_controller.rb,62,
controller,作业、提交与评分,PeerReviewsApiController,app/controllers/peer_reviews_api_controller.rb,76,
controller,其他,ApplicationController,app/controllers/application_controller.rb,24,
controller,其他,TokensController,app/controllers/tokens_controller.rb,41,
controller,学习成果与能力,OutcomesController,app/controllers/outcomes_controller.rb,21,
controller,账户与租户管理,AccountCalendarsApiController,app/controllers/account_calendars_api_controller.rb,104,
controller,作业、提交与评分,AssignmentsController,app/controllers/assignments_controller.rb,22,
controller,作业、提交与评分,AnonymousProvisionalGradesController,app/controllers/anonymous_provisional_grades_controller.rb,24,
controller,其他,ReleaseNotesController,app/controllers/release_notes_controller.rb,20,
controller,账户与租户管理,RoleOverridesController,app/controllers/role_overrides_controller.rb,173,
controller,作业、提交与评分,AssignmentGroupsController,app/controllers/assignment_groups_controller.rb,96,
controller,作业、提交与评分,GradebookCsvsController,app/controllers/gradebook_csvs_controller.rb,21,
controller,其他,FavoritesController,app/controllers/favorites_controller.rb,46,
controller,SIS、导入导出与报表,EpubExportsController,app/controllers/epub_exports_controller.rb,95,
controller,作业、提交与评分,GradeChangeAuditApiController,app/controllers/grade_change_audit_api_controller.rb,125,
controller,课程、班级与选课,SelfEnrollmentsController,app/controllers/self_enrollments_controller.rb,21,
controller,作业、提交与评分,SubmissionsBaseController,app/controllers/submissions_base_controller.rb,21,
controller,课程、班级与选课,CourseNicknamesController,app/controllers/course_nicknames_controller.rb,54,
controller,内容、文件与模块,PlannerOverridesController,app/controllers/planner_overrides_controller.rb,90,
controller,其他,ExternalFeedsController,app/controllers/external_feeds_controller.rb,72,
controller,学习成果与能力,OutcomeResultsController,app/controllers/outcome_results_controller.rb,189,
controller,课程、班级与选课,GradingPeriodSetsController,app/controllers/grading_period_sets_controller.rb,46,
controller,课程、班级与选课,TabsController,app/controllers/tabs_controller.rb,61,
controller,内容、文件与模块,ContextModulesController,app/controllers/context_modules_controller.rb,21,
controller,分析、审计与运维,AuthenticationAuditApiController,app/controllers/authentication_audit_api_controller.rb,72,
controller,其他,GradingStandardsApiController,app/controllers/grading_standards_api_controller.rb,90,
controller,账户与租户管理,PseudonymsController,app/controllers/pseudonyms_controller.rb,23,
controller,分析、审计与运维,JobsV2Controller,app/controllers/jobs_v2_controller.rb,20,
controller,用户、身份与沟通,LmgbUserDetailsController,app/controllers/lmgb_user_details_controller.rb,21,
controller,内容、文件与模块,SyllabusApiController,app/controllers/syllabus_api_controller.rb,20,
controller,作业、提交与评分,SubmissionCommentsApiController,app/controllers/submission_comments_api_controller.rb,24,
controller,其他,ScopesApiController,app/controllers/scopes_api_controller.rb,63,
controller,搜索、AI 与无障碍,AccessibilityIssuesController,app/controllers/accessibility_issues_controller.rb,20,
controller,内容、文件与模块,FilePreviewsController,app/controllers/file_previews_controller.rb,20,
controller,SIS、导入导出与报表,AccountReportsController,app/controllers/account_reports_controller.rb,199,
controller,用户、身份与沟通,CommMessagesApiController,app/controllers/comm_messages_api_controller.rb,101,
controller,SIS、导入导出与报表,MigrationIssuesController,app/controllers/migration_issues_controller.rb,95,
controller,GraphQL API,GraphQLController,app/controllers/graphql_controller.rb,21,
controller,账户与租户管理,TermsApiController,app/controllers/terms_api_controller.rb,95,
controller,其他,BlockEditorsController,app/controllers/block_editors_controller.rb,21,
controller,其他,ContentSharesController,app/controllers/content_shares_controller.rb,90,
controller,账户与租户管理,CspSettingsController,app/controllers/csp_settings_controller.rb,27,
controller,内容、文件与模块,WikiPagesController,app/controllers/wiki_pages_controller.rb,20,
controller,其他,TranslationController,app/controllers/translation_controller.rb,19,
controller,内容、文件与模块,CalendarsController,app/controllers/calendars_controller.rb,21,
