component,domain,path,module_xml,service_xml,maintenance_json,readme,privacy,roadmap,php_files,templates,tests
Category,仓库与对象,components/ILIAS/Category,True,False,True,False,False,True,21,2,1
CategoryReference,仓库与对象,components/ILIAS/CategoryReference,True,False,True,False,False,False,12,0,1
Container,仓库与对象,components/ILIAS/Container,False,True,True,True,False,True,120,24,2
ContainerReference,仓库与对象,components/ILIAS/ContainerReference,False,True,True,False,False,True,18,0,1
Course,仓库与对象,components/ILIAS/Course,True,False,True,True,False,True,109,44,6
CourseReference,仓库与对象,components/ILIAS/CourseReference,True,False,True,False,False,False,15,1,0
Folder,仓库与对象,components/ILIAS/Folder,True,False,True,False,False,False,18,0,1
Group,仓库与对象,components/ILIAS/Group,True,False,True,False,False,True,29,7,1
GroupReference,仓库与对象,components/ILIAS/GroupReference,True,False,True,False,False,False,11,0,0
ILIASObject,仓库与对象,components/ILIAS/ILIASObject,False,True,True,True,False,True,112,13,2
ItemGroup,仓库与对象,components/ILIAS/ItemGroup,True,False,True,True,True,True,22,1,1
MediaObjects,仓库与对象,components/ILIAS/MediaObjects,False,True,True,True,True,True,71,9,2
RemoteCategory,仓库与对象,components/ILIAS/RemoteCategory,True,False,True,False,False,False,5,0,0
RemoteCourse,仓库与对象,components/ILIAS/RemoteCourse,True,False,True,False,False,False,5,0,0
RemoteGroup,仓库与对象,components/ILIAS/RemoteGroup,True,False,True,False,False,False,5,0,0
Repository,仓库与对象,components/ILIAS/Repository,False,True,True,True,True,True,98,9,3
RootFolder,仓库与对象,components/ILIAS/RootFolder,True,False,True,False,False,False,13,0,1
StudyProgrammeReference,仓库与对象,components/ILIAS/StudyProgrammeReference,True,False,False,False,False,False,5,0,0
SystemFolder,仓库与对象,components/ILIAS/SystemFolder,True,False,True,False,False,False,14,6,0
Tree,仓库与对象,components/ILIAS/Tree,False,True,True,False,False,False,19,1,1
WorkspaceFolder,仓库与对象,components/ILIAS/WorkspaceFolder,True,False,True,False,False,False,18,3,1
WorkspaceRootFolder,仓库与对象,components/ILIAS/WorkspaceRootFolder,True,False,True,False,False,False,6,0,1
ADT,其他组件,components/ILIAS/ADT,False,False,True,False,False,False,110,0,2
Accessibility,其他组件,components/ILIAS/Accessibility,False,True,True,False,False,True,47,3,1
ActiveRecord,其他组件,components/ILIAS/ActiveRecord,False,False,True,True,False,False,36,5,2
Administration,其他组件,components/ILIAS/Administration,False,True,True,False,False,False,26,4,1
App,其他组件,components/ILIAS/App,False,False,False,True,False,False,2,0,1
Bibliographic,其他组件,components/ILIAS/Bibliographic,True,False,True,False,True,True,93,6,2
CSV,其他组件,components/ILIAS/CSV,False,False,False,False,False,False,4,0,0
Chart,其他组件,components/ILIAS/Chart,False,False,True,False,False,False,13,1,1
Cloud,其他组件,components/ILIAS/Cloud,False,False,False,True,False,False,3,0,0
Component,其他组件,components/ILIAS/Component,False,True,True,True,False,True,98,0,31
Context,其他组件,components/ILIAS/Context,False,False,True,False,False,False,23,0,3
CopyWizard,其他组件,components/ILIAS/CopyWizard,False,False,True,False,False,False,3,1,1
Data,其他组件,components/ILIAS/Data,False,False,True,True,False,False,88,0,29
DataCollection,其他组件,components/ILIAS/DataCollection,True,False,True,False,False,True,145,9,0
DataSet,其他组件,components/ILIAS/DataSet,False,True,True,False,False,False,5,0,1
EmployeeTalk,其他组件,components/ILIAS/EmployeeTalk,True,False,True,True,False,True,54,1,2
Environment,其他组件,components/ILIAS/Environment,False,False,True,False,False,False,4,0,2
Excel,其他组件,components/ILIAS/Excel,False,False,True,True,False,False,3,0,1
Exceptions,其他组件,components/ILIAS/Exceptions,False,False,True,False,False,False,7,0,1
Export,其他组件,components/ILIAS/Export,False,True,True,True,False,True,433,6,34
Feeds,其他组件,components/ILIAS/Feeds,False,False,True,False,False,True,8,0,1
Help,其他组件,components/ILIAS/Help,False,True,True,True,True,True,40,3,1
History,其他组件,components/ILIAS/History,False,False,True,False,False,False,4,1,1
Html,其他组件,components/ILIAS/Html,False,False,True,False,False,False,12,0,4
Imprint,其他组件,components/ILIAS/Imprint,False,True,True,False,False,False,10,0,1
