evidence_id,type,domain,name,claim,path,line,detail
ILI-E0001,version,总体,ilias_version.php,ILIAS 版本声明,ilias_version.php,,10.6 2026-03-10
ILI-E0002,readme,总体,README.md,项目说明 ILIAS 是开源 LMS，支持插件扩展,README.md,,
ILI-E0003,composer,总体,composer.json,Composer 声明 PHP 版本、依赖、classmap、Customizing/global/plugins 插件目录,composer.json,,
ILI-E0004,doc,权限,permission-handling.md,权限由 ref_id/object_id/tree、RBAC、路径、条件和对象状态共同决定,components/ILIAS/AccessControl/permission-handling.md,,
ILI-E0005,doc,DI,DI README,全局 $DIC 提供 db/ctrl/user/tree/access/rbac/logger 等核心服务,components/ILIAS/DI/README.md,,
ILI-E0006,doc,组件,Component README,Component 服务负责系统初始化和组件集成,components/ILIAS/Component/README.md,,
ILI-E0007,component,用户与权限,AccessControl,组件声明 module.xml/service.xml,components/ILIAS/AccessControl,,"module=False, service=True"
ILI-E0008,component,其他组件,Accessibility,组件声明 module.xml/service.xml,components/ILIAS/Accessibility,,"module=False, service=True"
ILI-E0009,component,平台服务,Accordion,组件声明 module.xml/service.xml,components/ILIAS/Accordion,,"module=False, service=True"
ILI-E0010,component,其他组件,Administration,组件声明 module.xml/service.xml,components/ILIAS/Administration,,"module=False, service=True"
ILI-E0011,component,沟通协作,AdministrativeNotification,组件声明 module.xml/service.xml,components/ILIAS/AdministrativeNotification,,"module=False, service=True"
ILI-E0012,component,平台服务,AdvancedEditing,组件声明 module.xml/service.xml,components/ILIAS/AdvancedEditing,,"module=False, service=True"
ILI-E0013,component,内容与元数据,AdvancedMetaData,组件声明 module.xml/service.xml,components/ILIAS/AdvancedMetaData,,"module=False, service=True"
ILI-E0014,component,用户与权限,AuthShibboleth,组件声明 module.xml/service.xml,components/ILIAS/AuthShibboleth,,"module=False, service=True"
ILI-E0015,component,用户与权限,Authentication,组件声明 module.xml/service.xml,components/ILIAS/Authentication,,"module=False, service=True"
ILI-E0016,component,沟通协作,Awareness,组件声明 module.xml/service.xml,components/ILIAS/Awareness,,"module=False, service=True"
ILI-E0017,component,平台服务,BackgroundTasks_,组件声明 module.xml/service.xml,components/ILIAS/BackgroundTasks_,,"module=False, service=True"
ILI-E0018,component,测试评估,Badge,组件声明 module.xml/service.xml,components/ILIAS/Badge,,"module=False, service=True"
ILI-E0019,component,其他组件,Bibliographic,组件声明 module.xml/service.xml,components/ILIAS/Bibliographic,,"module=True, service=False"
ILI-E0020,component,课程与学习资源,Blog,组件声明 module.xml/service.xml,components/ILIAS/Blog,,"module=True, service=False"
ILI-E0021,component,沟通协作,BookingManager,组件声明 module.xml/service.xml,components/ILIAS/BookingManager,,"module=True, service=False"
ILI-E0022,component,内容与元数据,COPage,组件声明 module.xml/service.xml,components/ILIAS/COPage,,"module=False, service=True"
ILI-E0023,component,沟通协作,Calendar,组件声明 module.xml/service.xml,components/ILIAS/Calendar,,"module=False, service=True"
ILI-E0024,component,仓库与对象,Category,组件声明 module.xml/service.xml,components/ILIAS/Category,,"module=True, service=False"
ILI-E0025,component,仓库与对象,CategoryReference,组件声明 module.xml/service.xml,components/ILIAS/CategoryReference,,"module=True, service=False"
ILI-E0026,component,测试评估,Certificate,组件声明 module.xml/service.xml,components/ILIAS/Certificate,,"module=False, service=True"
ILI-E0027,component,沟通协作,Chatroom,组件声明 module.xml/service.xml,components/ILIAS/Chatroom,,"module=True, service=False"
ILI-E0028,component,课程与学习资源,CmiXapi,组件声明 module.xml/service.xml,components/ILIAS/CmiXapi,,"module=True, service=False"
ILI-E0029,component,其他组件,Component,组件声明 module.xml/service.xml,components/ILIAS/Component,,"module=False, service=True"
ILI-E0030,component,沟通协作,Contact,组件声明 module.xml/service.xml,components/ILIAS/Contact,,"module=False, service=True"
ILI-E0031,component,仓库与对象,Container,组件声明 module.xml/service.xml,components/ILIAS/Container,,"module=False, service=True"
ILI-E0032,component,仓库与对象,ContainerReference,组件声明 module.xml/service.xml,components/ILIAS/ContainerReference,,"module=False, service=True"
ILI-E0033,component,课程与学习资源,ContentPage,组件声明 module.xml/service.xml,components/ILIAS/ContentPage,,"module=True, service=False"
ILI-E0034,component,仓库与对象,Course,组件声明 module.xml/service.xml,components/ILIAS/Course,,"module=True, service=False"
ILI-E0035,component,仓库与对象,CourseReference,组件声明 module.xml/service.xml,components/ILIAS/CourseReference,,"module=True, service=False"
ILI-E0036,component,平台服务,Cron,组件声明 module.xml/service.xml,components/ILIAS/Cron,,"module=False, service=True"
ILI-E0037,component,界面与前端,Dashboard,组件声明 module.xml/service.xml,components/ILIAS/Dashboard,,"module=False, service=True"
ILI-E0038,component,其他组件,DataCollection,组件声明 module.xml/service.xml,components/ILIAS/DataCollection,,"module=True, service=False"
ILI-E0039,component,用户与权限,DataProtection,组件声明 module.xml/service.xml,components/ILIAS/DataProtection,,"module=False, service=True"
ILI-E0040,component,其他组件,DataSet,组件声明 module.xml/service.xml,components/ILIAS/DataSet,,"module=False, service=True"
ILI-E0041,component,平台服务,Database,组件声明 module.xml/service.xml,components/ILIAS/Database,,"module=False, service=True"
ILI-E0042,component,平台服务,DidacticTemplate,组件声明 module.xml/service.xml,components/ILIAS/DidacticTemplate,,"module=False, service=True"
ILI-E0043,component,其他组件,EmployeeTalk,组件声明 module.xml/service.xml,components/ILIAS/EmployeeTalk,,"module=True, service=False"
ILI-E0044,component,平台服务,EventHandling,组件声明 module.xml/service.xml,components/ILIAS/EventHandling,,"module=False, service=True"
ILI-E0045,component,课程与学习资源,Exercise,组件声明 module.xml/service.xml,components/ILIAS/Exercise,,"module=True, service=False"
ILI-E0046,component,其他组件,Export,组件声明 module.xml/service.xml,components/ILIAS/Export,,"module=False, service=True"
ILI-E0047,component,课程与学习资源,File,组件声明 module.xml/service.xml,components/ILIAS/File,,"module=True, service=False"
ILI-E0048,component,课程与学习资源,FileServices,组件声明 module.xml/service.xml,components/ILIAS/FileServices,,"module=False, service=True"
ILI-E0049,component,课程与学习资源,Filesystem,组件声明 module.xml/service.xml,components/ILIAS/Filesystem,,"module=False, service=True"
ILI-E0050,component,仓库与对象,Folder,组件声明 module.xml/service.xml,components/ILIAS/Folder,,"module=True, service=False"
ILI-E0051,component,沟通协作,Forum,组件声明 module.xml/service.xml,components/ILIAS/Forum,,"module=True, service=False"
ILI-E0052,component,界面与前端,GlobalScreen_,组件声明 module.xml/service.xml,components/ILIAS/GlobalScreen_,,"module=False, service=True"
ILI-E0053,component,课程与学习资源,Glossary,组件声明 module.xml/service.xml,components/ILIAS/Glossary,,"module=True, service=False"
ILI-E0054,component,仓库与对象,Group,组件声明 module.xml/service.xml,components/ILIAS/Group,,"module=True, service=False"
ILI-E0055,component,仓库与对象,GroupReference,组件声明 module.xml/service.xml,components/ILIAS/GroupReference,,"module=True, service=False"
ILI-E0056,component,课程与学习资源,HTMLLearningModule,组件声明 module.xml/service.xml,components/ILIAS/HTMLLearningModule,,"module=True, service=False"
ILI-E0057,component,其他组件,Help,组件声明 module.xml/service.xml,components/ILIAS/Help,,"module=False, service=True"
ILI-E0058,component,仓库与对象,ILIASObject,组件声明 module.xml/service.xml,components/ILIAS/ILIASObject,,"module=False, service=True"
ILI-E0059,component,其他组件,Imprint,组件声明 module.xml/service.xml,components/ILIAS/Imprint,,"module=False, service=True"
ILI-E0060,component,测试评估,IndividualAssessment,组件声明 module.xml/service.xml,components/ILIAS/IndividualAssessment,,"module=True, service=False"
ILI-E0061,component,其他组件,Init,组件声明 module.xml/service.xml,components/ILIAS/Init,,"module=False, service=True"
ILI-E0062,component,仓库与对象,ItemGroup,组件声明 module.xml/service.xml,components/ILIAS/ItemGroup,,"module=True, service=False"
ILI-E0063,component,用户与权限,LDAP,组件声明 module.xml/service.xml,components/ILIAS/LDAP,,"module=False, service=True"
ILI-E0064,component,课程与学习资源,LTIConsumer,组件声明 module.xml/service.xml,components/ILIAS/LTIConsumer,,"module=True, service=False"
ILI-E0065,component,课程与学习资源,LTIProvider,组件声明 module.xml/service.xml,components/ILIAS/LTIProvider,,"module=False, service=True"
ILI-E0066,component,其他组件,Language,组件声明 module.xml/service.xml,components/ILIAS/Language,,"module=False, service=True"
ILI-E0067,component,其他组件,LearningHistory,组件声明 module.xml/service.xml,components/ILIAS/LearningHistory,,"module=False, service=True"
ILI-E0068,component,课程与学习资源,LearningModule,组件声明 module.xml/service.xml,components/ILIAS/LearningModule,,"module=True, service=False"
ILI-E0069,component,课程与学习资源,LearningSequence,组件声明 module.xml/service.xml,components/ILIAS/LearningSequence,,"module=True, service=False"
ILI-E0070,component,其他组件,LegalDocuments,组件声明 module.xml/service.xml,components/ILIAS/LegalDocuments,,"module=False, service=True"
ILI-E0071,component,其他组件,Link,组件声明 module.xml/service.xml,components/ILIAS/Link,,"module=False, service=True"
ILI-E0072,component,平台服务,Logging,组件声明 module.xml/service.xml,components/ILIAS/Logging,,"module=False, service=True"
ILI-E0073,component,沟通协作,Mail,组件声明 module.xml/service.xml,components/ILIAS/Mail,,"module=False, service=True"
ILI-E0074,component,界面与前端,MainMenu,组件声明 module.xml/service.xml,components/ILIAS/MainMenu,,"module=False, service=True"
ILI-E0075,component,用户与权限,MediaCast,组件声明 module.xml/service.xml,components/ILIAS/MediaCast,,"module=True, service=False"
ILI-E0076,component,仓库与对象,MediaObjects,组件声明 module.xml/service.xml,components/ILIAS/MediaObjects,,"module=False, service=True"
ILI-E0077,component,课程与学习资源,MediaPool,组件声明 module.xml/service.xml,components/ILIAS/MediaPool,,"module=True, service=False"
ILI-E0078,component,用户与权限,Membership,组件声明 module.xml/service.xml,components/ILIAS/Membership,,"module=False, service=True"
ILI-E0079,component,内容与元数据,MetaData,组件声明 module.xml/service.xml,components/ILIAS/MetaData,,"module=False, service=True"
