table,domain,path,line
content_object,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,2679
content_page_data,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,2724
content_page_metrics,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,2739
crs_archives,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3386
crs_archives_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3406
crs_f_definitions,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3420
crs_f_definitions_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3440
crs_file,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3454
crs_file_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3472
crs_groupings,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3486
crs_items,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3504
crs_lm_history,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3550
crs_objective_lm,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3568
crs_objective_lm_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3587
crs_objective_qst,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3601
crs_objective_qst_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3619
crs_objective_status,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3633
crs_objective_status_p,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3649
crs_objective_tst,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3664
crs_objective_tst_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3684
crs_objectives,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3698
crs_objectives_seq,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3720
crs_reference_settings,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3734
crs_settings,仓库、课程与学习资源,components/ILIAS/setup_/sql/ilias3.sql,3748
