evidence_id,type,domain,component_or_name,claim,path,line,snippet_or_detail
MDL-E0001,version,总体,core,代码版本为 Moodle 5.3dev 开发分支,public/version.php,,"version=2026042000.00, release=5.3dev (Build: 20260420), branch=503"
MDL-E0002,table,站点配置与升级,config,定义数据表：Moodle configuration variables,public/lib/db/install.xml,,"fields=id,name,value"
MDL-E0003,table,站点配置与升级,config_plugins,定义数据表：Moodle modules and plugins configuration variables,public/lib/db/install.xml,,"fields=id,plugin,name,value"
MDL-E0004,table,课程与分类,course,定义数据表：Central course table,public/lib/db/install.xml,,"fields=id,category,sortorder,fullname,shortname,idnumber,summary,summaryformat,format,showgrades,newsitems,startdate"
MDL-E0005,table,课程与分类,course_categories,定义数据表：Course categories,public/lib/db/install.xml,,"fields=id,name,idnumber,description,descriptionformat,parent,sortorder,coursecount,visible,visibleold,timemodified,depth"
MDL-E0006,table,用户与身份,communication_user,定义数据表：Communication user records mapping,public/lib/db/install.xml,,"fields=id,commid,userid,synced,deleted"
MDL-E0007,table,选课与群组,enrol,"定义数据表：Instances of enrolment plugins used in courses, fields marked as custom have a plugin defined meaning, core does not touch them. Create a new linked table if you need even more custom fields.",public/lib/db/install.xml,,"fields=id,enrol,status,courseid,sortorder,name,enrolperiod,enrolstartdate,enrolenddate,expirynotify,expirythreshold,notifyall"
MDL-E0008,table,用户与身份,user_enrolments,"定义数据表：Users participating in courses (aka enrolled users) - everybody who is participating/visible in course, that means both teachers and students",public/lib/db/install.xml,,"fields=id,status,enrolid,userid,timestart,timeend,modifierid,timecreated,timemodified"
MDL-E0009,table,课程与分类,course_modules,定义数据表：course_modules table retrofitted from MySQL,public/lib/db/install.xml,,"fields=id,course,module,instance,section,idnumber,added,score,indent,visible,visibleoncoursepage,visibleold"
MDL-E0010,table,消息与日历,message,定义数据表：Stores all unread messages,public/lib/db/install.xml,,"fields=id,useridfrom,useridto,subject,fullmessage,fullmessageformat,fullmessagehtml,smallmessage,notification,contexturl,contexturlname,timecreated"
MDL-E0011,table,用户与身份,message_user_actions,定义数据表：Stores all per-user actions on individual messages,public/lib/db/install.xml,,"fields=id,userid,messageid,action,timecreated"
MDL-E0012,table,消息与日历,notifications,定义数据表：Stores all notifications,public/lib/db/install.xml,,"fields=id,useridfrom,useridto,subject,fullmessage,fullmessageformat,fullmessagehtml,smallmessage,component,eventtype,contexturl,contexturlname"
MDL-E0013,table,用户与身份,message_contacts,定义数据表：Maintains lists of contacts between users,public/lib/db/install.xml,,"fields=id,userid,contactid,timecreated"
MDL-E0014,table,用户与身份,message_contact_requests,定义数据表：Maintains list of contact requests between users,public/lib/db/install.xml,,"fields=id,userid,requesteduserid,timecreated"
MDL-E0015,table,活动与资源,modules,定义数据表：modules available in the site,public/lib/db/install.xml,,"fields=id,name,cron,lastcron,search,visible"
MDL-E0016,table,用户与身份,sessions,定义数据表：Database based session storage - now recommended,public/lib/db/install.xml,,"fields=id,state,sid,userid,sessdata,timecreated,timemodified,firstip,lastip"
MDL-E0017,table,用户与身份,user,定义数据表：One record for each person,public/lib/db/install.xml,,"fields=id,auth,confirmed,policyagreed,deleted,suspended,mnethostid,username,password,idnumber,firstname,lastname"
MDL-E0018,table,用户与身份,user_preferences,定义数据表：Allows modules to store arbitrary user preferences,public/lib/db/install.xml,,"fields=id,userid,name,value"
MDL-E0019,table,用户与身份,user_lastaccess,"定义数据表：To keep track of course page access times, used in online participants block, and participants list",public/lib/db/install.xml,,"fields=id,userid,courseid,timeaccess"
MDL-E0020,table,用户与身份,user_password_history,定义数据表：A rotating log of hashes of previously used passwords for each user.,public/lib/db/install.xml,,"fields=id,userid,hash,timecreated"
MDL-E0021,table,成绩与完成,scale,定义数据表：Defines grading scales,public/lib/db/install.xml,,"fields=id,courseid,userid,name,scale,description,descriptionformat,timemodified"
MDL-E0022,table,成绩与完成,scale_history,定义数据表：History table,public/lib/db/install.xml,,"fields=id,action,oldid,source,timemodified,loggeduser,courseid,userid,name,scale,description"
MDL-E0023,table,用户与身份,stats_user_daily,定义数据表：To accumulate daily stats per course/user,public/lib/db/install.xml,,"fields=id,courseid,userid,roleid,timeend,statsreads,statswrites,stattype"
MDL-E0024,table,用户与身份,stats_user_weekly,定义数据表：To accumulate weekly stats per course/user,public/lib/db/install.xml,,"fields=id,courseid,userid,roleid,timeend,statsreads,statswrites,stattype"
MDL-E0025,table,用户与身份,stats_user_monthly,定义数据表：To accumulate monthly stats per course/user,public/lib/db/install.xml,,"fields=id,courseid,userid,roleid,timeend,statsreads,statswrites,stattype"
