type,name,component,path,has_version_php,has_install_xml,has_access_php,has_services_php,php_files,templates,tests,table_count,tables,capabilities,services
aiplacement,courseassist,aiplacement_courseassist,public/ai/placement/courseassist,True,False,True,True,15,8,4,0,,2,0
aiplacement,editor,aiplacement_editor,public/ai/placement/editor,True,False,True,True,11,0,2,0,,2,0
aiprovider,awsbedrock,aiprovider_awsbedrock,public/ai/provider/awsbedrock,True,False,False,False,31,0,7,0,,0,0
aiprovider,azureai,aiprovider_azureai,public/ai/provider/azureai,True,False,False,False,17,0,7,0,,0,0
aiprovider,deepseek,aiprovider_deepseek,public/ai/provider/deepseek,True,False,False,False,21,0,6,0,,0,0
aiprovider,gemini,aiprovider_gemini,public/ai/provider/gemini,True,False,False,False,26,0,8,0,,0,0
aiprovider,ollama,aiprovider_ollama,public/ai/provider/ollama,True,False,False,False,20,0,6,0,,0,0
aiprovider,openai,aiprovider_openai,public/ai/provider/openai,True,False,False,False,26,0,7,0,,0,0
assignfeedback,comments,assignfeedback_comments,public/mod/assign/feedback/comments,True,True,True,False,13,0,4,1,assignfeedback_comments,0,0
assignfeedback,editpdf,assignfeedback_editpdf,public/mod/assign/feedback/editpdf,True,True,False,False,83,0,12,4,assignfeedback_editpdf_cmnt;assignfeedback_editpdf_annot;assignfeedback_editpdf_quick;assignfeedback_editpdf_rot,0,0
assignfeedback,file,assignfeedback_file,public/mod/assign/feedback/file,True,True,True,False,22,0,7,1,assignfeedback_file,0,0
assignfeedback,offline,assignfeedback_offline,public/mod/assign/feedback/offline,True,False,True,False,9,0,0,0,,0,0
assignsubmission,comments,assignsubmission_comments,public/mod/assign/submission/comments,True,False,True,False,12,0,2,0,,0,0
assignsubmission,file,assignsubmission_file,public/mod/assign/submission/file,True,True,True,False,17,2,5,1,assignsubmission_file,0,0
assignsubmission,onlinetext,assignsubmission_onlinetext,public/mod/assign/submission/onlinetext,True,True,True,False,18,2,4,1,assignsubmission_onlinetext,0,0
auth,email,auth_email,public/auth/email,True,False,False,True,11,0,4,0,,0,2
auth,ldap,auth_ldap,public/auth/ldap,True,False,False,False,20,0,1,0,,0,0
auth,lti,auth_lti,public/auth/lti,True,True,False,False,14,2,2,1,auth_lti_linked_login,0,0
auth,manual,auth_manual,public/auth/manual,True,False,False,False,8,0,3,0,,0,0
auth,nologin,auth_nologin,public/auth/nologin,True,False,False,False,4,0,0,0,,0,0
auth,none,auth_none,public/auth/none,True,False,False,False,8,0,0,0,,0,0
auth,oauth2,auth_oauth2,public/auth/oauth2,True,True,True,False,21,2,4,1,auth_oauth2_linked_login,1,0
auth,shibboleth,auth_shibboleth,public/auth/shibboleth,True,False,False,False,15,1,0,0,,0,0
