entity,table_annotation,domain,package,path
AdobeConnectMeetingImpl,o_aconnect_meeting,业务模块,org.olat.modules.adobeconnect.model,src/main/java/org/olat/modules/adobeconnect/model/AdobeConnectMeetingImpl.java
AdobeConnectUserImpl,o_aconnect_user,业务模块,org.olat.modules.adobeconnect.model,src/main/java/org/olat/modules/adobeconnect/model/AdobeConnectUserImpl.java
AppointmentImpl,o_ap_appointment,业务模块,org.olat.modules.appointments.model,src/main/java/org/olat/modules/appointments/model/AppointmentImpl.java
OrganizerImpl,o_ap_organizer,业务模块,org.olat.modules.appointments.model,src/main/java/org/olat/modules/appointments/model/OrganizerImpl.java
ParticipationImpl,o_ap_participation,业务模块,org.olat.modules.appointments.model,src/main/java/org/olat/modules/appointments/model/ParticipationImpl.java
TopicImpl,o_ap_topic,业务模块,org.olat.modules.appointments.model,src/main/java/org/olat/modules/appointments/model/TopicImpl.java
TopicToGroupImpl,o_ap_topic_to_group,业务模块,org.olat.modules.appointments.model,src/main/java/org/olat/modules/appointments/model/TopicToGroupImpl.java
AssessmentEntryImpl,o_as_entry,业务模块,org.olat.modules.assessment.model,src/main/java/org/olat/modules/assessment/model/AssessmentEntryImpl.java
BigBlueButtonAttendeeImpl,o_bbb_attendee,业务模块,org.olat.modules.bigbluebutton.model,src/main/java/org/olat/modules/bigbluebutton/model/BigBlueButtonAttendeeImpl.java
BigBlueButtonMeetingImpl,o_bbb_meeting,业务模块,org.olat.modules.bigbluebutton.model,src/main/java/org/olat/modules/bigbluebutton/model/BigBlueButtonMeetingImpl.java
BigBlueButtonMeetingTemplateImpl,o_bbb_template,业务模块,org.olat.modules.bigbluebutton.model,src/main/java/org/olat/modules/bigbluebutton/model/BigBlueButtonMeetingTemplateImpl.java
BigBlueButtonRecordingReferenceImpl,o_bbb_recording,业务模块,org.olat.modules.bigbluebutton.model,src/main/java/org/olat/modules/bigbluebutton/model/BigBlueButtonRecordingReferenceImpl.java
BigBlueButtonServerImpl,o_bbb_server,业务模块,org.olat.modules.bigbluebutton.model,src/main/java/org/olat/modules/bigbluebutton/model/BigBlueButtonServerImpl.java
CatalogFilterImpl,o_ca_filter,业务模块,org.olat.modules.catalog.model,src/main/java/org/olat/modules/catalog/model/CatalogFilterImpl.java
CatalogLauncherImpl,o_ca_launcher,业务模块,org.olat.modules.catalog.model,src/main/java/org/olat/modules/catalog/model/CatalogLauncherImpl.java
CatalogLauncherToOrganisationImpl,o_ca_launcher_to_organisation,业务模块,org.olat.modules.catalog.model,src/main/java/org/olat/modules/catalog/model/CatalogLauncherToOrganisationImpl.java
AbstractPart,o_ce_page_part,业务模块,org.olat.modules.ceditor.model.jpa,src/main/java/org/olat/modules/ceditor/model/jpa/AbstractPart.java
AssignmentImpl,o_ce_assignment,业务模块,org.olat.modules.ceditor.model.jpa,src/main/java/org/olat/modules/ceditor/model/jpa/AssignmentImpl.java
CategoryImpl,o_pf_category,业务模块,org.olat.modules.ceditor.model.jpa,src/main/java/org/olat/modules/ceditor/model/jpa/CategoryImpl.java
CategoryToElementImpl,o_pf_category_relation,业务模块,org.olat.modules.ceditor.model.jpa,src/main/java/org/olat/modules/ceditor/model/jpa/CategoryToElementImpl.java
CodePart,,业务模块,org.olat.modules.ceditor.model.jpa,src/main/java/org/olat/modules/ceditor/model/jpa/CodePart.java
