evidence_id,type,domain,name,claim,path,line,detail
OOL-E0001,project,总体,pom.xml,Maven WAR 项目，artifactId 为 openolat-lms，版本 21.0-SNAPSHOT,pom.xml,,Java 17 / Spring / Hibernate / CXF 等依赖
OOL-E0002,project_doc,总体,openolat-architecture.md,项目内文档声明服务端状态 UI、Spring、Hibernate/JPA、Velocity、REST 等架构,doc/openolat-architecture.md,1,
OOL-E0003,project_doc,前端,openolat-frontend.md,项目内文档说明 Velocity、Bootstrap/SASS、jQuery 和 AJAX 局部更新,doc/openolat-frontend.md,1,
OOL-E0004,core_class,核心框架,OpenOLATServlet,Servlet 总入口,src/main/java/org/olat/core/servlets/OpenOLATServlet.java,60,
OOL-E0005,core_class,核心框架,DispatcherModule,请求分发模块,src/main/java/org/olat/core/dispatcher/DispatcherModule.java,53,
OOL-E0006,core_class,核心框架,AuthenticatedDispatcher,已登录用户主 UI 分发,src/main/java/org/olat/dispatcher/AuthenticatedDispatcher.java,83,
OOL-E0007,core_class,核心框架,DMZDispatcher,未登录区/登录注册分发,src/main/java/org/olat/dispatcher/DMZDispatcher.java,69,
OOL-E0008,core_class,核心框架,RESTDispatcher,REST 深链/接口分发,src/main/java/org/olat/dispatcher/RESTDispatcher.java,86,
OOL-E0009,core_class,核心框架,BaseSecurity,基础安全接口,src/main/java/org/olat/basesecurity/BaseSecurity.java,48,
OOL-E0010,core_class,核心框架,BaseSecurityManager,用户与权限管理实现,src/main/java/org/olat/basesecurity/BaseSecurityManager.java,98,
OOL-E0011,core_class,核心框架,RepositoryService,学习资源仓库服务接口,src/main/java/org/olat/repository/RepositoryService.java,61,
OOL-E0012,core_class,核心框架,RepositoryServiceImpl,学习资源仓库服务实现,src/main/java/org/olat/repository/manager/RepositoryServiceImpl.java,140,
OOL-E0013,core_class,核心框架,CourseFactory,课程装载/访问核心工厂,src/main/java/org/olat/course/CourseFactory.java,166,
OOL-E0014,core_class,核心框架,BasicController,服务端 UI 控制器基类,src/main/java/org/olat/core/gui/control/controller/BasicController.java,71,
OOL-E0015,core_class,核心框架,FormBasicController,表单控制器基类,src/main/java/org/olat/core/gui/components/form/flexible/impl/FormBasicController.java,77,
