package_prefix,level,file_count,domain
org.olat.modules,3,4907,业务模块
org.olat.course,3,2347,课程引擎
org.olat.core,3,2068,核心框架
org.olat.ims,3,543,标准协议/IMS
org.olat.repository,3,363,资源仓库
org.olat.user,3,287,用户
org.olat.resource,3,223,资源标识
org.olat.group,3,216,群组
org.olat.admin,3,184,系统管理
org.olat.commons,3,162,通用服务
org.olat.search,3,138,搜索
org.olat.restapi,3,130,REST API
org.olat.login,3,129,认证登录
org.olat.basesecurity,3,120,用户与权限
org.olat.gui,3,70,其他
org.olat.instantMessaging,3,58,即时消息
org.olat.registration,3,57,注册
org.olat.upgrade,3,57,其他
org.olat.shibboleth,3,33,其他
de.bps.course,3,30,其他
org.olat.fileresource,3,24,其他
org.olat.ldap,3,23,其他
de.tuchemnitz.wizard,3,12,其他
org.olat.home,3,12,其他
de.bps.olat,3,11,其他
org.olat.collaboration,3,10,协作
org.olat.note,3,9,其他
org.olat.properties,3,7,其他
org.olat.portal,3,7,其他
org.olat.dispatcher,3,5,其他
org.olat.social,3,2,其他
org.olat.util,3,1,其他
org.olat.course.nodes,4,1097,课程引擎
org.olat.core.gui,4,833,核心框架
org.olat.core.commons,4,805,核心框架
org.olat.ims.qti21,4,401,标准协议/IMS
org.olat.modules.curriculum,4,383,业务模块
org.olat.course.assessment,4,349,课程引擎
org.olat.modules.lecture,4,344,业务模块
org.olat.modules.quality,4,335,业务模块
org.olat.core.util,4,311,核心框架
org.olat.modules.forms,4,283,业务模块
org.olat.modules.ceditor,4,253,业务模块
org.olat.modules.project,4,217,业务模块
org.olat.resource.accesscontrol,4,213,资源标识
org.olat.modules.qpool,4,211,业务模块
org.olat.modules.portfolio,4,200,业务模块
org.olat.repository.ui,4,193,资源仓库
org.olat.modules.video,4,177,业务模块
org.olat.modules.topicbroker,4,144,业务模块
org.olat.modules.coach,4,141,业务模块
org.olat.modules.certificationprogram,4,141,业务模块
org.olat.group.ui,4,134,群组
org.olat.modules.cemedia,4,129,业务模块
org.olat.modules.taxonomy,4,123,业务模块
org.olat.modules.catalog,4,117,业务模块
org.olat.search.service,4,117,搜索
org.olat.modules.oaipmh,4,116,业务模块
org.olat.user.ui,4,116,用户
org.olat.modules.openbadges,4,111,业务模块
org.olat.modules.bigbluebutton,4,106,业务模块
org.olat.ims.lti13,4,96,标准协议/IMS
org.olat.modules.grading,4,93,业务模块
org.olat.course.run,4,92,课程引擎
org.olat.commons.calendar,4,91,通用服务
org.olat.course.condition,4,89,课程引擎
org.olat.modules.fo,4,85,业务模块
org.olat.course.learningpath,4,85,课程引擎
org.olat.modules.webFeed,4,82,业务模块
org.olat.course.certificate,4,78,课程引擎
org.olat.modules.assessment,4,76,业务模块
org.olat.course.editor,4,75,课程引擎
org.olat.admin.user,4,64,系统管理
org.olat.modules.appointments,4,63,业务模块
org.olat.modules.creditpoint,4,63,业务模块
org.olat.modules.grade,4,61,业务模块
org.olat.modules.todo,4,60,业务模块
org.olat.gui.demo,4,59,其他
org.olat.course.member,4,59,课程引擎
org.olat.user.propertyhandlers,4,53,用户
org.olat.modules.reminder,4,52,业务模块
org.olat.modules.teams,4,51,业务模块
org.olat.restapi.system,4,51,REST API
org.olat.modules.wiki,4,50,业务模块
org.olat.admin.sysinfo,4,50,系统管理
org.olat.course.archiver,4,50,课程引擎
org.olat.modules.gotomeeting,4,49,业务模块
org.olat.modules.scorm,4,48,业务模块
org.olat.restapi.support,4,48,REST API
org.olat.modules.edusharing,4,47,业务模块
org.olat.course.reminder,4,47,课程引擎
org.olat.course.statistic,4,47,课程引擎
org.olat.login.oauth,4,45,认证登录
