table,domain,path,line
o_forum,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,1
o_forum_pseudonym,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,9
o_property,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,18
o_bs_secgroup,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,35
o_bs_group,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,42
o_bs_group_member,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,49
o_bs_group_member_history,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,60
o_bs_grant,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,76
o_gp_business,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,86
o_temporarykey,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,125
o_bs_authentication,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,138
o_bs_authentication_history,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,162
o_bs_recovery_key,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,173
o_bs_webauthn_stats,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,184
o_noti_pub,通知,src/main/resources/database/postgresql/setupDatabase.sql,193
o_noti_mail,通知,src/main/resources/database/postgresql/setupDatabase.sql,211
o_bs_identity,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,221
o_bs_relation_role,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,242
o_bs_relation_right,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,252
o_bs_relation_role_to_right,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,258
o_bs_identity_to_identity,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,265
o_csp_log,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,275
o_olatresource,资源仓库与课程资源,src/main/resources/database/postgresql/setupDatabase.sql,293
o_bs_namedgroup,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,302
o_catentry,资源仓库与课程资源,src/main/resources/database/postgresql/setupDatabase.sql,311
o_note,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,329
o_references,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,342
o_references_history,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,352
o_user,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,362
o_userproperty,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,456
o_user_data_export,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,463
o_user_data_delete,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,474
o_user_absence_leave,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,484
o_message,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,497
o_gp_bgtoarea_rel,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,517
o_noti_sub,通知,src/main/resources/database/postgresql/setupDatabase.sql,526
o_bs_policy,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,538
o_gp_bgarea,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,550
o_repositoryentry,资源仓库与课程资源,src/main/resources/database/postgresql/setupDatabase.sql,559
o_re_to_group,资源仓库与课程资源,src/main/resources/database/postgresql/setupDatabase.sql,606
o_re_template_to_group,资源仓库与课程资源,src/main/resources/database/postgresql/setupDatabase.sql,615
o_re_to_tax_level,资源仓库与课程资源,src/main/resources/database/postgresql/setupDatabase.sql,622
o_repositoryentry_cycle,资源仓库与课程资源,src/main/resources/database/postgresql/setupDatabase.sql,629
o_repositoryentry_stats,资源仓库与课程资源,src/main/resources/database/postgresql/setupDatabase.sql,641
o_bs_membership,用户、组织与权限,src/main/resources/database/postgresql/setupDatabase.sql,653
o_re_educational_type,资源仓库与课程资源,src/main/resources/database/postgresql/setupDatabase.sql,663
o_plock,日志、统计与平台运维,src/main/resources/database/postgresql/setupDatabase.sql,674
hibernate_unique_key,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,682
o_lifecycle,日志、统计与平台运维,src/main/resources/database/postgresql/setupDatabase.sql,686
oc_lock,日志、统计与平台运维,src/main/resources/database/postgresql/setupDatabase.sql,698
o_readmessage,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,709
o_loggingtable,日志、统计与平台运维,src/main/resources/database/postgresql/setupDatabase.sql,719
o_checklist,其他业务模块,src/main/resources/database/postgresql/setupDatabase.sql,746
