type,domain,feature_or_name,path_or_url,file,line,permission
backend_endpoint,系统用户与权限,业务操作,POST /login,old-code/teaching-auth/src/main/java/com/teaching/auth/controller/TokenController.java,34,
backend_endpoint,系统用户与权限,删除/作废,DELETE /logout,old-code/teaching-auth/src/main/java/com/teaching/auth/controller/TokenController.java,46,
backend_endpoint,系统用户与权限,业务操作,POST /refresh,old-code/teaching-auth/src/main/java/com/teaching/auth/controller/TokenController.java,68,
backend_endpoint,系统用户与权限,业务操作,POST /register,old-code/teaching-auth/src/main/java/com/teaching/auth/controller/TokenController.java,80,
backend_endpoint,其他,查询/查看,GET /details/list,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardDetailsController.java,68,competition:details:list
backend_endpoint,其他,查询/查看,GET /details/awardDetailsList,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardDetailsController.java,76,competition:details:list
backend_endpoint,其他,导出、查询/查看,POST /details/export,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardDetailsController.java,89,competition:details:export
backend_endpoint,其他,查询/查看,GET /details/{id},old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardDetailsController.java,167,competition:details:query
backend_endpoint,其他,查询/查看,POST /details/,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardDetailsController.java,177,competition:details:add
backend_endpoint,其他,修改/状态变更、查询/查看,POST /details/editAwardDetails,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardDetailsController.java,187,competition:details:edit
backend_endpoint,其他,删除/作废、查询/查看,GET /details/remove/{id},old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardDetailsController.java,197,competition:details:remove
backend_endpoint,系统用户与权限,查询/查看,GET /awardDetailsUser/awardPublicityList,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardDetailsUserController.java,78,
backend_endpoint,系统用户与权限,修改/状态变更、查询/查看,POST /awardDetailsUser/updateAwardDetailsList,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardDetailsUserController.java,87,
backend_endpoint,系统用户与权限,导出、查询/查看,POST /awardDetailsUser/export,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardDetailsUserController.java,96,
backend_endpoint,其他,查询/查看,GET /publicity/list,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardPublicityController.java,42,competition:publicity:list
backend_endpoint,导入中间表,导入,POST /publicity/importData,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardPublicityController.java,63,competition:publicity:import
backend_endpoint,其他,导出,POST /publicity/export,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardPublicityController.java,101,competition:publicity:export
backend_endpoint,其他,查询/查看,GET /publicity/{id},old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardPublicityController.java,112,competition:publicity:query
backend_endpoint,其他,业务操作,POST /publicity/,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardPublicityController.java,122,competition:publicity:add
backend_endpoint,其他,业务操作,PUT /publicity/,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardPublicityController.java,132,competition:publicity:edit
backend_endpoint,其他,查询/查看,PUT /publicity/tipInfo,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardPublicityController.java,143,competition:publicity:edit
backend_endpoint,其他,删除/作废,DELETE /publicity/{ids},old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/AwardPublicityController.java,153,competition:publicity:remove
backend_endpoint,现场证件,查询/查看,GET /competition/candidateCertInfo/list,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CandidateCertInfoController.java,60,competition:candidateCertInfo:list
backend_endpoint,现场证件,导出、查询/查看,POST /competition/candidateCertInfo/export,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CandidateCertInfoController.java,71,competition:candidateCertInfo:export
backend_endpoint,现场证件,查询/查看,GET /competition/candidateCertInfo/{candidateId},old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CandidateCertInfoController.java,136,competition:candidateCertInfo:query
backend_endpoint,现场证件,新增/创建、查询/查看,POST /competition/candidateCertInfo/saveCandidateCertInfo,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CandidateCertInfoController.java,146,competition:candidateCertInfo:add
backend_endpoint,现场证件,新增/创建、查询/查看,POST /competition/candidateCertInfo/batchInsertCandidateCertInfo/{certConfigId},old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CandidateCertInfoController.java,156,competition:candidateCertInfo:add
backend_endpoint,现场证件,查询/查看,POST /competition/candidateCertInfo/,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CandidateCertInfoController.java,166,competition:candidateCertInfo:edit
backend_endpoint,导入中间表,导入、查询/查看,POST /competition/candidateCertInfo/importCandidateCertInfo,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CandidateCertInfoController.java,176,competition:candidateCertInfo:import
backend_endpoint,现场证件,新增/创建、查询/查看,POST /competition/candidateCertInfo/insertCandidateCertInfoFromAwards,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CandidateCertInfoController.java,189,
backend_endpoint,现场证件,查询/查看,GET /competition/candidateCertInfo/{candidateIds},old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CandidateCertInfoController.java,199,competition:candidateCertInfo:remove
backend_endpoint,现场证件,查询/查看,GET /competition/certConfigInfo/list,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CertConfigInfoController.java,45,competition:certConfigInfo:list
backend_endpoint,现场证件,导出、查询/查看,POST /competition/certConfigInfo/export,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CertConfigInfoController.java,57,competition:certConfigInfo:export
backend_endpoint,现场证件,查询/查看,GET /competition/certConfigInfo/getCertConfigInfo/{certConfigId},old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CertConfigInfoController.java,68,competition:certConfigInfo:query
backend_endpoint,现场证件,新增/创建、查询/查看,POST /competition/certConfigInfo/addCertConfigInfo,old-code/teaching-modules/teaching-competition/src/main/java/com/teaching/competition/controller/CertConfigInfoController.java,78,competition:certConfigInfo:add
