evidence_id,type,domain,name,claim,path,line,detail
SAK-E0001,readme,总体,README.md,README 声明 Sakai CLE，master 为当前开发线，运行在 Tomcat,README.md,,
SAK-E0002,pom,总体,pom.xml,顶层 Maven POM 声明多模块构建,pom.xml,,
SAK-E0003,doc,Kernel,kernel/README.md,Kernel 包含 Sakai 基础服务、API/SPI、实现和 Spring components.xml wiring,kernel/README.md,,
SAK-E0004,doc,Portal,portal/README.md,Portal 控制 Sakai 外层 UI 和工具渲染,portal/README.md,,
SAK-E0005,doc,Content,content/README.md,Content 提供 Resources 工具和 Drop Box,content/README.md,,
SAK-E0006,core_api,核心服务,SecurityService,权限判断服务,kernel/api/src/main/java/org/sakaiproject/authz/api/SecurityService.java,37,
SAK-E0007,core_api,核心服务,AuthzGroupService,Realm/AuthzGroup 服务,kernel/api/src/main/java/org/sakaiproject/authz/api/AuthzGroupService.java,46,
SAK-E0008,core_api,核心服务,SiteService,站点服务,kernel/api/src/main/java/org/sakaiproject/site/api/SiteService.java,47,
SAK-E0009,core_api,核心服务,ContentHostingService,内容资源服务,kernel/api/src/main/java/org/sakaiproject/content/api/ContentHostingService.java,101,
SAK-E0010,core_api,核心服务,ToolManager,工具/Placement 服务,kernel/api/src/main/java/org/sakaiproject/tool/api/ToolManager.java,39,
SAK-E0011,core_api,核心服务,SessionManager,会话服务,kernel/api/src/main/java/org/sakaiproject/tool/api/SessionManager.java,34,
SAK-E0012,core_api,核心服务,AssignmentService,作业服务,assignment/api/src/java/org/sakaiproject/assignment/api/AssignmentService.java,58,
SAK-E0013,core_api,核心服务,EntityBroker,实体/API 聚合服务,entitybroker/api/src/main/java/org/sakaiproject/entitybroker/EntityBroker.java,53,
SAK-E0014,module,其他模块,access,Maven 模块/工具,access,,"java=2, webapp=False"
SAK-E0015,module,其他模块,admin-bulk-user-membership,Maven 模块/工具,admin-bulk-user-membership,,"java=6, webapp=False"
SAK-E0016,module,用户、站点与权限,admin-su,Maven 模块/工具,admin-su,,"java=1, webapp=False"
SAK-E0017,module,用户、站点与权限,admin-tools,Maven 模块/工具,admin-tools,,"java=13, webapp=False"
SAK-E0018,module,教学工具与协作,announcement,Maven 模块/工具,announcement,,"java=24, webapp=False"
SAK-E0019,module,其他模块,announcement/announcement-api/api,Maven 模块/工具,announcement/announcement-api/api,,"java=9, webapp=False"
SAK-E0020,module,内容、文件与集成,archive,Maven 模块/工具,archive,,"java=1, webapp=False"
SAK-E0021,module,教学工具与协作,assignment,Maven 模块/工具,assignment,,"java=86, webapp=False"
SAK-E0022,module,其他模块,assignment/api,Maven 模块/工具,assignment/api,,"java=32, webapp=False"
SAK-E0023,module,教学工具与协作,calendar,Maven 模块/工具,calendar,,"java=74, webapp=False"
SAK-E0024,module,其他模块,calendar/calendar-api/api,Maven 模块/工具,calendar/calendar-api/api,,"java=17, webapp=False"
SAK-E0025,module,其他模块,calendar/calendar-bundles,Maven 模块/工具,calendar/calendar-bundles,,"java=0, webapp=False"
SAK-E0026,module,其他模块,calendar/calendar-hbm,Maven 模块/工具,calendar/calendar-hbm,,"java=1, webapp=False"
SAK-E0027,module,其他模块,card-game,Maven 模块/工具,card-game,,"java=5, webapp=False"
SAK-E0028,module,其他模块,card-game/api,Maven 模块/工具,card-game/api,,"java=3, webapp=False"
SAK-E0029,module,教学工具与协作,chat,Maven 模块/工具,chat,,"java=19, webapp=False"
SAK-E0030,module,其他模块,chat/chat-api/api,Maven 模块/工具,chat/chat-api/api,,"java=8, webapp=False"
SAK-E0031,module,内容、文件与集成,citations,Maven 模块/工具,citations,,"java=71, webapp=False"
SAK-E0032,module,其他模块,citations/citations-api/api,Maven 模块/工具,citations/citations-api/api,,"java=25, webapp=False"
SAK-E0033,module,内容、文件与集成,cloud-content,Maven 模块/工具,cloud-content,,"java=1, webapp=False"
SAK-E0034,module,内容、文件与集成,cloud-storage,Maven 模块/工具,cloud-storage,,"java=14, webapp=False"
SAK-E0035,module,其他模块,cloud-storage/googledrive,Maven 模块/工具,cloud-storage/googledrive,,"java=14, webapp=False"
SAK-E0036,module,平台框架与门户,common,Maven 模块/工具,common,,"java=125, webapp=False"
SAK-E0037,module,其他模块,common/archive-api,Maven 模块/工具,common/archive-api,,"java=16, webapp=False"
SAK-E0038,module,其他模块,common/common-api,Maven 模块/工具,common/common-api,,"java=15, webapp=False"
SAK-E0039,module,其他模块,common/impl,Maven 模块/工具,common/impl,,"java=8, webapp=False"
SAK-E0040,module,其他模块,common/privacy-api,Maven 模块/工具,common/privacy-api,,"java=1, webapp=False"
SAK-E0041,module,其他模块,common/privacy-hbm,Maven 模块/工具,common/privacy-hbm,,"java=1, webapp=False"
SAK-E0042,module,教学工具与协作,commons,Maven 模块/工具,commons,,"java=28, webapp=False"
SAK-E0043,module,其他模块,commons/api,Maven 模块/工具,commons/api,,"java=18, webapp=False"
SAK-E0044,module,其他模块,conditions,Maven 模块/工具,conditions,,"java=13, webapp=False"
SAK-E0045,module,其他模块,conditions/api,Maven 模块/工具,conditions/api,,"java=7, webapp=False"
SAK-E0046,module,平台框架与门户,config,Maven 模块/工具,config,,"java=9, webapp=False"
SAK-E0047,module,其他模块,config/configuration/bundles,Maven 模块/工具,config/configuration/bundles,,"java=0, webapp=False"
SAK-E0048,module,教学工具与协作,content,Maven 模块/工具,content,,"java=74, webapp=False"
SAK-E0049,module,教学工具与协作,content-review,Maven 模块/工具,content-review,,"java=48, webapp=False"
SAK-E0050,module,其他模块,content-review/api,Maven 模块/工具,content-review/api,,"java=10, webapp=False"
SAK-E0051,module,其他模块,content/content-bundles,Maven 模块/工具,content/content-bundles,,"java=0, webapp=False"
SAK-E0052,module,其他模块,content/content-copyright/api,Maven 模块/工具,content/content-copyright/api,,"java=3, webapp=False"
SAK-E0053,module,其他模块,content/content-metadata/api,Maven 模块/工具,content/content-metadata/api,,"java=6, webapp=False"
SAK-E0054,module,教学工具与协作,conversations,Maven 模块/工具,conversations,,"java=65, webapp=False"
SAK-E0055,module,其他模块,conversations/api,Maven 模块/工具,conversations/api,,"java=42, webapp=False"
SAK-E0056,module,教学工具与协作,dashboard,Maven 模块/工具,dashboard,,"java=4, webapp=False"
SAK-E0057,module,内容、文件与集成,dav,Maven 模块/工具,dav,,"java=5, webapp=False"
SAK-E0058,module,其他模块,dav/dav-common,Maven 模块/工具,dav/dav-common,,"java=1, webapp=False"
SAK-E0059,module,其他模块,dav/dav-server,Maven 模块/工具,dav/dav-server,,"java=1, webapp=False"
SAK-E0060,module,用户、站点与权限,delegatedaccess,Maven 模块/工具,delegatedaccess,,"java=81, webapp=False"
SAK-E0061,module,其他模块,delegatedaccess/api,Maven 模块/工具,delegatedaccess/api,,"java=17, webapp=False"
SAK-E0062,module,平台框架与门户,deploy,Maven 模块/工具,deploy,,"java=0, webapp=False"
SAK-E0063,module,其他模块,e2e-tests,Maven 模块/工具,e2e-tests,,"java=26, webapp=False"
SAK-E0064,module,其他模块,edu-services,Maven 模块/工具,edu-services,,"java=100, webapp=False"
SAK-E0065,module,其他模块,edu-services/cm-service/cm-api/api,Maven 模块/工具,edu-services/cm-service/cm-api/api,,"java=16, webapp=False"
SAK-E0066,module,其他模块,edu-services/cm-service/cm-impl/hibernate-impl/hibernate,Maven 模块/工具,edu-services/cm-service/cm-impl/hibernate-impl/hibernate,,"java=15, webapp=False"
SAK-E0067,module,其他模块,edu-services/scoring-service/api,Maven 模块/工具,edu-services/scoring-service/api,,"java=4, webapp=False"
SAK-E0068,module,其他模块,edu-services/sections-service/sections-api,Maven 模块/工具,edu-services/sections-service/sections-api,,"java=20, webapp=False"
SAK-E0069,module,其他模块,edu-services/sections-service/sections-impl/sakai/model,Maven 模块/工具,edu-services/sections-service/sections-impl/sakai/model,,"java=11, webapp=False"
SAK-E0070,module,其他模块,emailtemplateservice,Maven 模块/工具,emailtemplateservice,,"java=4, webapp=False"
SAK-E0071,module,平台框架与门户,entitybroker,Maven 模块/工具,entitybroker,,"java=267, webapp=False"
SAK-E0072,module,其他模块,entitybroker/api,Maven 模块/工具,entitybroker/api,,"java=122, webapp=False"
SAK-E0073,module,其他模块,external-calendaring-service,Maven 模块/工具,external-calendaring-service,,"java=7, webapp=False"
SAK-E0074,module,其他模块,external-calendaring-service/api,Maven 模块/工具,external-calendaring-service/api,,"java=2, webapp=False"
SAK-E0075,module,教学工具与协作,feedback,Maven 模块/工具,feedback,,"java=7, webapp=False"
SAK-E0076,module,教学工具与协作,gradebookng,Maven 模块/工具,gradebookng,,"java=247, webapp=False"
SAK-E0077,module,其他模块,gradebookng/api,Maven 模块/工具,gradebookng/api,,"java=71, webapp=False"
SAK-E0078,module,其他模块,gradebookng/bundle,Maven 模块/工具,gradebookng/bundle,,"java=0, webapp=False"
SAK-E0079,module,其他模块,help,Maven 模块/工具,help,,"java=39, webapp=False"
SAK-E0080,module,其他模块,help/help,Maven 模块/工具,help/help,,"java=0, webapp=False"
SAK-E0081,module,其他模块,help/help-api,Maven 模块/工具,help/help-api,,"java=10, webapp=False"
SAK-E0082,module,其他模块,help/help-component-shared,Maven 模块/工具,help/help-component-shared,,"java=3, webapp=False"
SAK-E0083,module,用户、站点与权限,hierarchy,Maven 模块/工具,hierarchy,,"java=21, webapp=False"
SAK-E0084,module,其他模块,hierarchy/api,Maven 模块/工具,hierarchy/api,,"java=13, webapp=False"
SAK-E0085,module,平台框架与门户,jobscheduler,Maven 模块/工具,jobscheduler,,"java=114, webapp=False"
