module,domain,path,has_pom,has_readme,webapp,java_files,xml_files,sql_files
access,其他模块,access,True,False,False,2,6,0
admin-bulk-user-membership,其他模块,admin-bulk-user-membership,True,False,False,6,4,0
announcement/announcement-api/api,其他模块,announcement/announcement-api/api,True,False,False,9,1,0
assignment/api,其他模块,assignment/api,True,False,False,32,5,0
calendar/calendar-api/api,其他模块,calendar/calendar-api/api,True,False,False,17,1,0
calendar/calendar-bundles,其他模块,calendar/calendar-bundles,True,False,False,0,1,0
calendar/calendar-hbm,其他模块,calendar/calendar-hbm,True,False,False,1,2,0
card-game,其他模块,card-game,True,True,False,5,4,0
card-game/api,其他模块,card-game/api,True,False,False,3,1,0
chat/chat-api/api,其他模块,chat/chat-api/api,True,False,False,8,1,0
citations/citations-api/api,其他模块,citations/citations-api/api,True,False,False,25,1,0
cloud-storage/googledrive,其他模块,cloud-storage/googledrive,True,True,False,14,6,0
common/archive-api,其他模块,common/archive-api,True,False,False,16,1,0
common/common-api,其他模块,common/common-api,True,False,False,15,1,0
common/impl,其他模块,common/impl,True,False,False,8,4,0
common/privacy-api,其他模块,common/privacy-api,True,False,False,1,1,0
common/privacy-hbm,其他模块,common/privacy-hbm,True,False,False,1,1,3
commons/api,其他模块,commons/api,True,False,False,18,1,0
conditions,其他模块,conditions,True,False,False,13,4,0
conditions/api,其他模块,conditions/api,True,False,False,7,1,0
config/configuration/bundles,其他模块,config/configuration/bundles,True,False,False,0,1,0
content-review/api,其他模块,content-review/api,True,False,False,10,2,0
content/content-bundles,其他模块,content/content-bundles,True,False,False,0,1,0
content/content-copyright/api,其他模块,content/content-copyright/api,True,False,False,3,1,0
content/content-metadata/api,其他模块,content/content-metadata/api,True,False,False,6,1,0
conversations/api,其他模块,conversations/api,True,False,False,42,6,0
dav/dav-common,其他模块,dav/dav-common,True,False,False,1,1,0
dav/dav-server,其他模块,dav/dav-server,True,False,False,1,2,0
delegatedaccess/api,其他模块,delegatedaccess/api,True,False,False,17,1,0
e2e-tests,其他模块,e2e-tests,True,True,False,26,1,0
edu-services,其他模块,edu-services,True,False,False,100,34,21
edu-services/cm-service/cm-api/api,其他模块,edu-services/cm-service/cm-api/api,True,False,False,16,1,0
edu-services/cm-service/cm-impl/hibernate-impl/hibernate,其他模块,edu-services/cm-service/cm-impl/hibernate-impl/hibernate,True,False,False,15,13,0
edu-services/scoring-service/api,其他模块,edu-services/scoring-service/api,True,False,False,4,1,0
edu-services/sections-service/sections-api,其他模块,edu-services/sections-service/sections-api,True,False,False,20,1,0
edu-services/sections-service/sections-impl/sakai/model,其他模块,edu-services/sections-service/sections-impl/sakai/model,True,False,False,11,1,0
emailtemplateservice,其他模块,emailtemplateservice,True,False,False,4,4,0
entitybroker/api,其他模块,entitybroker/api,True,False,False,122,1,0
external-calendaring-service,其他模块,external-calendaring-service,True,False,False,7,5,0
external-calendaring-service/api,其他模块,external-calendaring-service/api,True,False,False,2,1,0
gradebookng/api,其他模块,gradebookng/api,True,False,False,71,1,0
gradebookng/bundle,其他模块,gradebookng/bundle,True,False,False,0,1,0
help,其他模块,help,True,False,False,39,19,3
help/help,其他模块,help/help,True,False,False,0,2,0
help/help-api,其他模块,help/help-api,True,False,False,10,1,0
help/help-component-shared,其他模块,help/help-component-shared,True,False,False,3,3,0
hierarchy/api,其他模块,hierarchy/api,True,False,False,13,4,0
jobscheduler/scheduler-api,其他模块,jobscheduler/scheduler-api,True,False,False,14,1,0
jobscheduler/scheduler-component-shared,其他模块,jobscheduler/scheduler-component-shared,True,False,False,80,2,30
jobscheduler/scheduler-events-model,其他模块,jobscheduler/scheduler-events-model,True,False,False,4,1,0
jobscheduler/scheduler-test-component-shared,其他模块,jobscheduler/scheduler-test-component-shared,True,False,False,11,1,0
kernel/api,其他模块,kernel/api,True,False,False,442,3,0
kernel/component-manager,其他模块,kernel/component-manager,True,False,False,49,14,0
kernel/kernel-storage-util,其他模块,kernel/kernel-storage-util,True,False,False,39,3,0
lessonbuilder/api,其他模块,lessonbuilder/api,True,False,False,20,1,0
lessonbuilder/hbm,其他模块,lessonbuilder/hbm,True,False,False,16,12,0
login/login-api/api,其他模块,login/login-api/api,True,False,False,9,1,0
lti/lti-api,其他模块,lti/lti-api,True,False,False,26,1,0
lti/tsugi-util,其他模块,lti/tsugi-util,True,True,False,184,8,0
mailarchive/mailarchive-api/api,其他模块,mailarchive/mailarchive-api/api,True,False,False,8,1,0
mailsender/api,其他模块,mailsender/api,True,False,False,13,1,0
master,其他模块,master,True,False,False,1,1,0
meetings/api,其他模块,meetings/api,True,False,False,9,1,0
message,其他模块,message,True,False,False,11,9,0
message/message-api/api,其他模块,message/message-api/api,True,False,False,7,1,0
microsoft-integration/api,其他模块,microsoft-integration/api,True,False,False,53,1,0
msgcntr/messageforums-api,其他模块,msgcntr/messageforums-api,True,False,False,71,1,0
msgcntr/messageforums-hbm,其他模块,msgcntr/messageforums-hbm,True,False,False,39,19,41
oauth/api,其他模块,oauth/api,True,False,False,15,1,0
oauth/dao-hbm,其他模块,oauth/dao-hbm,True,False,False,2,4,0
pack,其他模块,pack,True,False,False,0,7,0
pack/pack-bin,其他模块,pack/pack-bin,True,False,False,0,2,0
pack/pack-src,其他模块,pack/pack-src,True,False,False,0,2,0
pasystem,其他模块,pasystem,True,True,False,37,8,3
pasystem/pasystem-api/api,其他模块,pasystem/pasystem-api/api,True,False,False,13,1,0
plus/api,其他模块,plus/api,True,False,False,19,1,0
podcasts/podcasts-api,其他模块,podcasts/podcasts-api,True,False,False,5,1,0
polls/api,其他模块,polls/api,True,False,False,11,3,0
portal/portal-api/api,其他模块,portal/portal-api/api,True,False,False,23,1,0
portal/portal-render-api/api,其他模块,portal/portal-render-api/api,True,False,False,4,1,0
portal/portal-util/util,其他模块,portal/portal-util/util,True,False,False,9,1,0
postem/postem-api,其他模块,postem/postem-api,True,False,False,4,1,0
postem/postem-hbm,其他模块,postem/postem-hbm,True,False,False,4,3,0
presence,其他模块,presence,True,False,False,6,9,3
presence/presence-api/api,其他模块,presence/presence-api/api,True,False,False,2,1,0
profile2/api,其他模块,profile2/api,True,False,False,16,1,0
reset-pass/account-validator-api,其他模块,reset-pass/account-validator-api,True,False,False,6,1,0
roster2/bundle,其他模块,roster2/bundle,True,False,False,0,1,0
rubrics/api,其他模块,rubrics/api,True,False,False,24,1,0
rwiki/rwiki-api/api,其他模块,rwiki/rwiki-api/api,True,False,False,49,2,0
rwiki/rwiki-model,其他模块,rwiki/rwiki-model,True,False,False,13,3,0
samigo/samigo-api,其他模块,samigo/samigo-api,True,False,False,73,47,0
