table,domain,path,line,source
CITATION_CITATION,其他工具表,citations/citations-impl/impl/src/sql/oracle/sakai_citation.sql,17,sql
CITATION_COLLECTION,其他工具表,citations/citations-impl/impl/src/sql/oracle/sakai_citation.sql,5,sql
CITATION_COLLECTION_ORDER,其他工具表,citations/citations-impl/impl/src/sql/oracle/sakai_citation.sql,28,sql
CITATION_SCHEMA,其他工具表,citations/citations-impl/impl/src/sql/oracle/sakai_citation.sql,41,sql
CITATION_SCHEMA_FIELD,其他工具表,citations/citations-impl/impl/src/sql/oracle/sakai_citation.sql,52,sql
CMN_TYPE_T,其他工具表,common/common-composite-component/src/sql/oracle/sakai_common.sql,4,sql
CM_ACADEMIC_SESSION_T,其他工具表,edu-services/cm-service/xdocs/db-conversion-2.3.1-2.4.0/oracle/cm-2.3.1-oracle.sql,18,sql
CM_COURSE_SET_CANON_ASSOC_T,其他工具表,edu-services/cm-service/xdocs/db-conversion-2.3.1-2.4.0/oracle/cm-2.3.1-oracle.sql,19,sql
CM_COURSE_SET_OFFERING_ASSOC_T,其他工具表,edu-services/cm-service/xdocs/db-conversion-2.3.1-2.4.0/oracle/cm-2.3.1-oracle.sql,20,sql
CM_CROSS_LISTING_T,其他工具表,edu-services/cm-service/xdocs/db-conversion-2.3.1-2.4.0/oracle/cm-2.3.1-oracle.sql,21,sql
CM_ENROLLMENT_SET_T,其他工具表,edu-services/cm-service/xdocs/db-conversion-2.3.1-2.4.0/oracle/cm-2.3.1-oracle.sql,22,sql
CM_ENROLLMENT_T,其他工具表,edu-services/cm-service/xdocs/db-conversion-2.3.1-2.4.0/oracle/cm-2.3.1-oracle.sql,23,sql
CM_MEETING_T,其他工具表,edu-services/cm-service/xdocs/db-conversion-2.3.1-2.4.0/oracle/cm-2.3.1-oracle.sql,24,sql
CM_MEMBERSHIP_T,其他工具表,edu-services/cm-service/xdocs/db-conversion-2.3.1-2.4.0/oracle/cm-2.3.1-oracle.sql,25,sql
CM_MEMBER_CONTAINER_T,其他工具表,edu-services/cm-service/xdocs/db-conversion-2.3.1-2.4.0/oracle/cm-2.3.1-oracle.sql,26,sql
CM_OFFICIAL_INSTRUCTORS_T,其他工具表,edu-services/cm-service/xdocs/db-conversion-2.3.1-2.4.0/oracle/cm-2.3.1-oracle.sql,27,sql
CM_SEC_CATEGORY_T,其他工具表,edu-services/cm-service/xdocs/db-conversion-2.3.1-2.4.0/oracle/conversion.sql,2,sql
COMMONS_COMMENT,其他工具表,commons/impl/src/sql/oracle/commons_tables.sql,25,sql
COMMONS_COMMONS,其他工具表,commons/impl/src/sql/oracle/commons_tables.sql,1,sql
COMMONS_COMMONS_POST,其他工具表,commons/impl/src/sql/oracle/commons_tables.sql,8,sql
COMMONS_LIKE,其他工具表,commons/impl/src/sql/oracle/commons_tables.sql,35,sql
COMMONS_POST,其他工具表,commons/impl/src/sql/oracle/commons_tables.sql,14,sql
CONTENTREVIEW_ITEM,其他工具表,content-review/api/src/main/resources/ContentReviewItem.hbm.xml,5,hbm
HIERARCHY_NODE,其他工具表,hierarchy/api/src/java/org/sakaiproject/hierarchy/dao/hbm/HierarchyPersistentNode.hbm.xml,5,hbm
HIERARCHY_NODE_META,其他工具表,hierarchy/api/src/java/org/sakaiproject/hierarchy/dao/hbm/HierarchyNodeMetaData.hbm.xml,5,hbm
HIERARCHY_PERMS,其他工具表,hierarchy/api/src/java/org/sakaiproject/hierarchy/dao/hbm/HierarchyNodePermission.hbm.xml,5,hbm
IMSENT_GROUP,其他工具表,providers/imsent/src/sql/hsqldb/imsent_provider.sql,34,sql
IMSENT_MEMBERSHIP,其他工具表,providers/imsent/src/sql/hsqldb/imsent_provider.sql,88,sql
IMSENT_PERSON,其他工具表,providers/imsent/src/sql/hsqldb/imsent_provider.sql,5,sql
OAUTH_ACCESSORS,其他工具表,oauth/dao-hbm/src/resources/org/sakaiproject/oauth/dao/Accessor.hbm.xml,5,hbm
OAUTH_CONSUMERS,其他工具表,oauth/dao-hbm/src/resources/org/sakaiproject/oauth/dao/Consumer.hbm.xml,5,hbm
QRTZ_BLOB_TRIGGERS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,78,sql
QRTZ_BLOB_TRIGGERS_NEW,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz2-upgrade.sql,105,sql
QRTZ_CALENDARS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,98,sql
QRTZ_CRON_TRIGGERS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,67,sql
QRTZ_CRON_TRIGGERS_NEW,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz2-upgrade.sql,96,sql
QRTZ_FIRED_TRIGGERS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,109,sql
QRTZ_JOB_DETAILS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,9,sql
QRTZ_JOB_DETAILS_NEW,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz2-upgrade.sql,52,sql
QRTZ_JOB_LISTENERS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,22,sql
QRTZ_LOCKS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,132,sql
QRTZ_PAUSED_TRIGGER_GRPS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,104,sql
QRTZ_SCHEDULER_STATE,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,125,sql
QRTZ_SIMPLE_TRIGGERS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,55,sql
QRTZ_SIMPLE_TRIGGERS_NEW,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz2-upgrade.sql,86,sql
QRTZ_SIMPROP_TRIGGERS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz2.sql,80,sql
QRTZ_TRIGGERS,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz.sql,32,sql
QRTZ_TRIGGERS_NEW,其他工具表,jobscheduler/scheduler-component-shared/src/sql/mysql/quartz2-upgrade.sql,66,sql
